Year,Agency Name,Name of Donor (Individual or Firm),Type of Donation,Value of Donation
2019,Education (Department of),Parent Teacher Association of Lillie Devereaux Blake School PS 6 ; 02M006 Parent Teacher Association of Lillie Devereaux Blake School PS 6 ; PRIV PTA GRANT 16  0,Money,"$300,000.00"
2019,Education (Department of),Parents and Teachers Association of PS 116 Inc ; 02M116 Parents and Teachers Association of PS 116 Inc ; PRIV PTA GRANT 11  0,Money,"$112,321.46"
2019,Education (Department of),Parents of PS 334 Inc The Anderson School PS 334 ; 03M334 Parents of PS 334 Inc The Anderson School PS 334 ; PRIVATE GRANT  37  0,Money,"$400,000.00"
2019,Education (Department of),Parents of PS 9 Inc ; 03M009 Parents of PS 9 Inc (Assistant Teachers) ; PRIVATE GRANT  34  0,Money,"$200,000.00"
2019,Education (Department of),Parents of PS 9 Inc ; 03M009 Parents of PS 9 Inc (Cluster) ; PRIVATE GRANT  33  0,Money,"$33,884.00"
2020,Borough President - Bronx,No donations to report,,
2019,Education (Department of),Parents of PS 9 Inc ; 03M009 Parents of PS 9 Inc (Librarian) ; PRIVATE GRANT  35  0,Money,"$12,500.00"
2019,Education (Department of),Parents of PS 9 Inc ; 03M009 Parents of PS 9 Inc (Music) ; PRIVATE GRANT  32  0,Money,"$41,329.00"
2019,Education (Department of),Parents of PS 9 Inc ; 03M009 Parents of PS 9 Inc (Professional Development) ; PRIVATE GRANT  47  0,Money,"$30,000.00"
2019,Education (Department of),Parents of PS 9 Inc ; 03M009 Parents of PS 9 Inc (Spanish) ; PRIVATE GRANT  31  0,Money,"$91,641.00"
2019,Education (Department of),Pathways in Tech Early College HS ; PATHWAYS IN TECH   0,Money,"$343,553.00"
2019,Education (Department of),Pathways in Tech Early College HS ; PATHWAYS IN TECH18 0,Money,"$335,330.00"
2019,Education (Department of),Paul Simon ; Music Fellows Program ; Fund for Public Schools ; FUNDS PUB SCHL 63  0,Money,"$50,965.00"
2019,Education (Department of),PAWS-ROAR Program at 31R029 ; SELF SUSTAINING 11 9,Money,"$784,000.00"
2019,Education (Department of),PDT Partners ; PS 260X - afterschool (PDT Partners) ; Fund for Public Schools ; FUNDS PUB SCHL 375 9,Money,"$82,650.00"
2019,Education (Department of),Peck Slip School PTA Inc ; 02M343 Peck Slip School PTA Inc ; PRIV PTA GRANT 25  0,Money,"$20,000.00"
2019,Education (Department of),Persistently Struggling Schools Award for 14K610 ; STATE MISC. 50     8,Money,"$2,081,897.00"
2019,Education (Department of),PlayOn Sports - To promote the PSAL's athletic programs and activities ;,Money,"$86,062.52"
2019,Education (Department of),PlayOn Sports - To promote the PSAL's athletic programs and activities ; PRIVATE GRANT  32  9,Money,"$86,062.52"
2019,Education (Department of),PlayOn Sports - To promote the PSAL's athletic programs and activities ; PRIVATE GRANT  56  9,Money,"$107,578.15"
2019,Education (Department of),Principal Pipeline ; FUNDS PUB SCHL 30  9,Money,"$155,813.00"
2019,Education (Department of),Progressive Redesign Opportunity Schools for Excellence (PROSE) Schools NEA Grant ; PRIVATE GRANT  80  7,Money,"$155,268.00"
2019,Education (Department of),PS 119X ; FUNDS PUB SCHL 14  9,Money,"$356,760.00"
2019,Education (Department of),PS 135K ; FUNDS PUB SCHL 50  9,Money,"$30,000.00"
2019,Education (Department of),PS 146M - Summer Program ; FUNDS PUB SCHL 23  9,Money,"$53,903.00"
2019,Education (Department of),PS 146M - supplies ; FUNDS PUB SCHL 02  0,Money,"$13,667.00"
2019,Education (Department of),PS 150 PTA Inc ; 02M150 PS 150 PTA Inc ; PRIV PTA GRANT 07  0,Money,"$125,000.00"
2019,Education (Department of),PS 158 Parents Association ; 02M158 PS 158 Parents Association ; PRIV PTA GRANT 12  0,Money,"$50,000.00"
2019,Education (Department of),PS 164Q - General Support ; FUNDS PUB SCHL 03  9,Money,"$14,045.00"
2019,Education (Department of),PS 169Q - test prep ; FUNDS PUB SCHL 385 9,Money,"$8,193.00"
2019,Education (Department of),PS 183 PTA ; 02M183 PS 183 PTA ; PRIV PTA GRANT 04  0,Money,"$100,000.00"
2019,Education (Department of),PS 191 Parent Association ; 03M191 PS 191 Parent Association ; PRIV PTA GRANT 06  0,Money,"$15,000.00"
2019,Education (Department of),PS 225X - PD ; FUNDS PUB SCHL 367 9,Money,"$5,800.00"
2019,Education (Department of),PS 23 After School Care Program ; Funds will support the Self-Sustaining After School Care Program at 31R023 ; SELF SUSTAINING 27 0,Money,"$30,000.00"
2019,Education (Department of),PS 23 Summer Day Camp ; Self Sustaining Summer Day Camp at 31R023 ; SELF SUSTAINING 28 0,Money,"$30,000.00"
2019,Education (Department of),PS 234 PTA ; 02M234 PS 234 PTA ; PRIV PTA GRANT 08  0,Money,"$168,000.00"
2019,Education (Department of),PS 243Q - ELITE program ; FUNDS PUB SCHL 79  9,Money,"$48,541.00"
2019,Education (Department of),PS 260X - after school ; FUNDS PUB SCHL 12  0,Money,"$273,616.00"
2019,Education (Department of),PS 260X - Afterschool (Hayden) ; FUNDS PUB SCHL 374 9,Money,"$8,192.00"
2019,Education (Department of),PS 260X - afterschool (PDT Partners) ; FUNDS PUB SCHL 375 9,Money,"$61,371.00"
2019,Education (Department of),PS 260X - afterschool program ; FUNDS PUB SCHL 19  0,Money,"$74,629.00"
2019,Education (Department of),PS 261 - Arabic program ; FUNDS PUB SCHL 43  9,Money,"$113,712.00"
2019,Education (Department of),PS 307K - STEM ; FUNDS PUB SCHL 35  0,Money,"$31,256.00"
2019,Education (Department of),PS 307K - STEM ; FUNDS PUB SCHL 377 9,Money,"$229,152.00"
2019,Education (Department of),PS 318X - Matisse ; FUNDS PUB SCHL 359 9,Money,"$89,503.00"
2019,Education (Department of),PS 36 School Fund E.X.T.R.A.  026013673: 7923398510 ; 31R036 Self Sustaining After School Program ; SELF SUSTAINING 98 0,Money,"$30,000.00"
2019,Education (Department of),PS 41 PTA ; 02M041 PS 41 PTA ; PRIV PTA GRANT 10  0,Money,"$50,000.00"
2019,Education (Department of),PS 41X - family engagement ; FUNDS PUB SCHL 89  9,Money,"$24,000.00"
2019,Education (Department of),PS 430K - STEM ; FUNDS PUB SCHL 29  0,Money,"$40,500.00"
2019,Education (Department of),PS 439X - after school ; FUNDS PUB SCHL 381 9,Money,"$10,460.00"
2019,Education (Department of),PS 5 Latchkey Program ; Latchkey Program at 31R006 ; SELF SUSTAINING 15 0,Money,"$10,000.00"
2019,Education (Department of),PS 527 Parent Teacher Association ; 02M527 PS 527 Parent Teacher Association ; PRIV PTA GRANT 02  0,Money,"$258,490.00"
2019,Education (Department of),PS 52M - Library ; FUNDS PUB SCHL 54  0,Money,"$51,420.00"
2019,Education (Department of),PS 546K - Youth farm ; FUNDS PUB SCHL 393 9,Money,"$9,179.00"
2019,Education (Department of),PS 549K - Music ; FUNDS PUB SCHL 370 9,Money,"$16,406.00"
2019,Education (Department of),PS 551M - CTE ; FUNDS PUB SCHL 91  9,Money,"$6,814.00"
2019,Education (Department of),PS 670M ; FUNDS PUB SCHL 12  9,Money,"$64,006.00"
2019,Education (Department of),PS 87 PA Inc ; 03M087 PS 87 PA Inc ; PRIV PTA GRANT 03  0,Money,"$191,000.00"
2019,Education (Department of),PS 896M ; FUNDS PUB SCHL 26  9,Money,"$17,415.00"
2019,Education (Department of),PS K266 - Walentas ; FUNDS PUB SCHL 11  9,Money,"$65,000.00"
2019,Education (Department of),PS-IS 187 Hudson Cliffs Parents Organization Inc ; 06M187 PS-IS 187 Hudson Cliffs Parents Organization Inc ; PRIV PTA GRANT 02  0,Money,"$20,000.00"
2019,Education (Department of),PS/IS 276 Parent Teacher Association Inc ; 02M276 PS/IS 276 Parent Teacher Association Inc ; PRIV PTA GRANT 09  0,Money,"$425,000.00"
2019,Education (Department of),PS033M Chelsea Prep PTA Inc ; 02M033 PS033M Chelsea Prep PTA Inc ; PRIV PTA GRANT 30  0,Money,"$51,315.00"
2019,Education (Department of),pta ; 24q128 PTA enrichment ; PRIV PTA GRANT 02  0,Money,"$10,000.00"
2019,Education (Department of),PTA ; 25q130 PTA Residency ; PRIV PTA GRANT 04  0,Money,"$7,500.00"
2019,Education (Department of),pta ; 25q184 PTA test prep ; PRIV PTA GRANT 04  9,Money,"$15,300.00"
2019,Education (Department of),pta ; 25q193 PTA after school ; PRIV PTA GRANT 05  0,Money,"$12,929.52"
2019,Education (Department of),pta ; 25Q194 after school for per session ; PRIV PTA GRANT 03  0,Money,"$15,000.00"
2019,Education (Department of),pta ; 26q067 per session ; PRIV PTA GRANT 03  0,Money,"$6,000.00"
2019,Education (Department of),PTA ; 26q067 PTA ; PRIV PTA GRANT 10  9,Money,"$6,000.00"
2019,Education (Department of),pta ; 26Q074 PTA enrichment ; PRIV PTA GRANT 07  9,Money,"$15,000.00"
2019,Education (Department of),PTA ; 26q074 PTA funds after school ; PRIV PTA GRANT 06  0,Money,"$15,000.00"
2019,Education (Department of),PTA ; 26q098 PTA Art Teacher ; PRIV PTA GRANT 02  0,Money,"$29,260.00"
2019,Education (Department of),pta ; 26q188 PTA for Library program ; PRIV PTA GRANT 04  0,Money,"$6,000.00"
2019,Education (Department of),pta ; 27q114 PTA Chromebooks ; PRIV PTA GRANT 02  0,Money,"$18,000.00"
2019,Education (Department of),pta ; 27q114 PTA funds for salaries ; PRIV PTA GRANT 05  0,Money,"$25,000.00"
2019,Education (Department of),pta ; 27q207 PTA for Teacher's College ; PRIV PTA GRANT 04  0,Money,"$20,000.00"
2019,Education (Department of),pta ; 27q317 PTA after school ; PRIV PTA GRANT 03  0,Money,"$6,000.00"
2019,Education (Department of),pta ; 28q099 PTA After school payroll ; PRIV PTA GRANT 04  0,Money,"$80,000.00"
2019,Education (Department of),PTA ; 28q144 PTA after school ; PRIV PTA GRANT 05  0,Money,"$25,000.00"
2019,Education (Department of),pta ; 28q174 PTA funds after school ; PRIV PTA GRANT 06  0,Money,"$15,295.00"
2019,Education (Department of),pta ; 28q190 PTA ; PRIV PTA GRANT 01  0,Money,"$39,512.53"
2019,Education (Department of),pta ; 28q190 PTA ; PRIV PTA GRANT 30  0,Money,"$39,512.53"
2019,Education (Department of),PTA ; 29Q208 PTA after school ; PRIV PTA GRANT 01  0,Money,"$19,845.00"
2019,Education (Department of),pta ; 29Q208 PTA after school ; PRIV PTA GRANT 30  0,Money,"$19,845.00"
2019,Education (Department of),pta ; 30q070 PTA Enrichment ; PRIV PTA GRANT 05  0,Money,"$10,000.00"
2019,Education (Department of),pta ; 30q300 PTA for Teaching Assistants ; PRIV PTA GRANT 02  0,Money,"$37,300.00"
2019,Education (Department of),PTA ; PTA 26Q203 discretionary ; PRIV PTA GRANT 01  0,Money,"$5,181.04"
2019,Education (Department of),pta ; PTA 26Q203 discretionary ; PRIV PTA GRANT 30  0,Money,"$5,181.04"
2019,Education (Department of),PTA ; PTA 28Q196 ; PRIV PTA GRANT 03  0,Money,"$103,000.00"
2019,Education (Department of),pta ; PTA funds for college and after school program ; PRIV PTA GRANT 03  0,Money,"$40,000.00"
2019,Education (Department of),PTA award for 10X696 ; PRIV PTA GRANT 30  0,Money,"$100,000.00"
2019,Education (Department of),PTA of HS for Math Science & Engineering ; 05M692 PTA of HS for Math Science & Engineering ; PRIV PTA GRANT 04  0,Money,"$46,350.00"
2019,Education (Department of),PTA of PS 40 Manhattan Inc ; 02M040 PTA of PS 40 Manhattan Inc ; PRIV PTA GRANT 17  0,Money,"$225,000.00"
2019,Education (Department of),PTA of PS 452 ; 03M452 PTA of PS 452 ; PRIV PTA GRANT 07  0,Money,"$115,000.00"
2019,Education (Department of),PTA of PS 59 ; 02M059 PTA of PS 59 ; PRIV PTA GRANT 06  0,Money,"$65,000.00"
2019,Education (Department of),PTA of the Neighborhood School ; 01M363 PTA of the Neighborhood School ; PRIV PTA GRANT 02  0,Money,"$18,850.00"
2019,Education (Department of),PTA PS 55R ; AIS Instruction at 31R055 ; SELF SUSTAINING 94 9,Money,"$7,700.00"
2019,Education (Department of),Public School 60 ; Enrichment Program at 31R060 ; SELF SUSTAINING 42 0,Money,"$22,363.00"
2019,Education (Department of),Qatar Foundation ; PS 30K - Dual Language ; Fund for Public Schools ; FUNDS PUB SCHL 48  0,Money,"$92,454.00"
2019,Education (Department of),Reading Rescue ; FUNDS PUB SCHL 06  9,Money,"$45,352.00"
2019,Education (Department of),Renaissance charter school ; 27q323 Renaissance Dissemination grant    ; PRIVATE GRANT  33  0,Money,"$6,795.00"
2019,Education (Department of),Robin Hood ; Computational Thinking ; Fund for Public Schools ; FUNDS PUB SCHL 14  0,Money,"$17,000.00"
2019,Education (Department of),"Roots, Routes & Rhythms: Integrating Social studies, Community Resources and the Arts ; MISC FED GRANT 90  9",Money,"$300,000.00"
2019,Education (Department of),ROTC ; 24q610 Air Force JROTC Allocation ; ROTC  11           0,Money,"$208,232.66"
2019,Education (Department of),ROTC ; 25Q425 Air Force JROTC ; ROTC  11           0,Money,"$133,492.97"
2019,Education (Department of),ROTC ; 30q450 ROTC Army reimbursable allocation ; ROTC  10           0,Money,"$130,236.56"
2019,Education (Department of),ROTC ; Air Force JROTC Reimbursable Allocation for 27q480 ; ROTC  11           0,Money,"$116,008.52"
2019,Education (Department of),rotc ; Air Force JROTC Reimbursable Allocation for 27q480 ; ROTC  11           9,Money,"$110,753.84"
2019,Education (Department of),ROTC ; ROTC award for 09X297 ; ROTC  10           0,Money,"$114,836.00"
2019,Education (Department of),ROTC Army ; 26q430 ROTC Army reimbursable allocation ; ROTC  10           0,Money,"$456,436.96"
2019,Education (Department of),Roundabout Theatre Company ; Educational Initiative at 31R034 ; SELF SUSTAINING 93 9,Money,"$5,740.00"
2019,Education (Department of),RSM US LLP ; 04M146 RSM US LLP ; PRIVATE GRANT  32  0,Money,"$5,607.05"
2019,Education (Department of),S.T.A.R. Center at 31R042 ; SELF SUSTAINING 24 9,Money,"$2,044,300.00"
2019,Education (Department of),"SAM-  Improvements to the PS 23Q schoolyard , educational  Greenhouse & Jungle Gym. ID#8979 $50K ; STATE MISC. 724    9",Money,"$50,000.00"
2019,Education (Department of),SAM- Purchase and Installation of a Sound System at PS69Q (30Q069)$100k  Project ID:9082 ; STATE MISC. 701    9,Money,"$100,000.00"
2019,Education (Department of),SAM- Purchase and installation of Air Conditioning at I.S. 25Q  Project I.D-6716 ; STATE MISC. 93     8,Money,"$90,000.00"
2019,Education (Department of),SAM- Purchase of Laptops & Smart Board for PS 111 in Manhattan  Project ID #13111 ; STATE MISC. 703    0,Money,"$150,000.00"
2019,Education (Department of),SAM- Renovations & Improvements to the George Washington HS.   Project id #9550 $350k ; STATE MISC. 723    9,Money,"$350,000.00"
2019,Education (Department of),SAM- Renovations & Upgrades @ P.S 277 (22K277)- Gerritsen Beach School. Project ID #6734 $55K ; STATE MISC. 722    9,Money,"$55,000.00"
2019,Education (Department of),SAM- Renovations and Upgrades at P.S. 229-The Dyker School 50k  Project ID:6732 ; STATE MISC. 708    9,Money,"$50,000.00"
2019,Education (Department of),SAM- Renovations to the Art Studio in PS183 (02M183)-Project ID#8820 $125k ; STATE MISC. 711    9,Money,"$125,000.00"
2019,Education (Department of),"SAM- Renovations to the bathroom at PS 172K (15K172).   Project I.D #12965 $100,000 ; STATE MISC. 725    9",Money,"$100,000.00"
2019,Education (Department of),"SAM- REPLACEMENT OF A PUBLIC ADDRESS SYSTEM AT PS214Q  PROJECT ID:9123 $224,850 ; STATE MISC. 709    9",Money,"$224,850.00"
2019,Education (Department of),SAM-Creation of an iLAB@ BX Theatre H.S/JFK H.S Complex. Project id #12874 $285k ; STATE MISC. 720    9,Money,"$285,000.00"
2019,Education (Department of),"SAM-Creation of STEM Labs, Purchase & Installation of Tech Equipment for PS144 Project ID #13072 ; STATE MISC. 705    0",Money,"$220,000.00"
2019,Education (Department of),SAM-Installation of Air conditioning auditorium @PS92 & computer purchase.Project #9121 ; STATE MISC. 717    9,Money,"$160,000.00"
2019,Education (Department of),SAM-Purchase & Installation of AC units & Electrical upgrades @ MS51 (15k051)  ID #10622 $125K ; STATE MISC. 726    9,Money,"$125,000.00"
2019,Education (Department of),SAM-Purchase & Installation of electric Equipment @Riverdale/Kingsbridge Academy MS/HS 141 ID #12803 ; STATE MISC. 719    9,Money,"$500,000.00"
2019,Education (Department of),SAM-Purchase of Laptops & Smart Boards for PS 139Q (28Q139)  Project ID: #13107 ; STATE MISC. 715    9,Money,"$150,000.00"
2019,Education (Department of),SAM-Purchase of Tech & communications equipment for multiple schools in Manhattan. Project ID #9559 ; STATE MISC. 716    9,Money,"$500,000.00"
2019,Education (Department of),SAM-Renovations & Improvements to the George Washington H.S   Project I.D #9550 $350K ; STATE MISC. 702    0,Money,"$700,000.00"
2019,Education (Department of),SAM-Renovations & Upgrades at I.S 228- David A. Boody School   Project #6721-$250k ; STATE MISC. 718    9,Money,"$500,000.00"
2019,Education (Department of),Sassafrass Fdtn ; PS 131M - afterschool ; Fund for Public Schools ; FUNDS PUB SCHL 37  0,Money,"$119,500.00"
2019,Education (Department of),Saturday Academy Per Session ; SELF SUSTAINING 10 9,Money,"$11,200.00"
2019,Education (Department of),school ; 24q073 Academy Bus ; PRIVATE GRANT  48  9,Money,"$17,640.00"
2019,Education (Department of),school ; 25q209 Test prep Program ; SELF SUSTAINING 10 9,Money,"$8,722.00"
2019,Education (Department of),school ; 26q074 Fitness and Purchasing ; SELF SUSTAINING 50 0,Money,"$14,371.82"
2019,Education (Department of),school ; 26q094 self sustaining ; SELF SUSTAINING 26 9,Money,"$7,540.00"
2019,Education (Department of),school ; 26q098 self sustaining ; SELF SUSTAINING 40 0,Money,"$50,000.00"
2019,Education (Department of),school ; 26q188 self sustaining after school ; SELF SUSTAINING 29 0,Money,"$19,992.98"
2019,Education (Department of),school ; 26Q191 after school self sustaining ; SELF SUSTAINING 22 0,Money,"$15,250.00"
2019,Education (Department of),school ; 26q203 self sustaining after school   ; SELF SUSTAINING 16 0,Money,"$20,000.00"
2019,Education (Department of),school ; 26q205 after school self sustaining ; SELF SUSTAINING 28 0,Money,"$50,000.00"
2019,Education (Department of),school ; 26q221 after school; Self Sustaining ; SELF SUSTAINING 34 0,Money,"$113,000.00"
2019,Education (Department of),school ; 26q430 Officials Athletics ; PRIVATE GRANT  36  0,Money,"$6,750.00"
2019,Education (Department of),school ; 29q135 Pitney Bowes refund ; PRIVATE GRANT  32  0,Money,"$22,068.28"
2019,Education (Department of),School Community Council The John Melser Charrette School PS 3 ; 02M003 School Community Council The John Melser Charrette School PS 3 ; PRIVATE GRANT  44  0,Money,"$75,000.00"
2019,Education (Department of),School Library Sys Supplemental Aid ; STATE MISC. 09     0,Money,"$170,321.00"
2019,Education (Department of),School Library Systems Aid ; STATE MISC. 08     0,Money,"$1,219,654.00"
2019,Education (Department of),School Library Systems Aid for Automation ; STATE MISC. 10     0,Money,"$121,965.00"
2019,Education (Department of),School of American Ballet ; PS 408M - per session ; Fund for Public Schools ; FUNDS PUB SCHL 366 9,Money,"$23,715.00"
2019,Education (Department of),Schools Food Concession Commissions ; SELF SUSTAINING 63 9,Money,"$3,700,225.33"
2019,Education (Department of),SED ; 28Q440 Startalk Summer Hindi Program ; MISC FED GRANT 43  0,Money,"$89,796.00"
2019,Education (Department of),SED ; 29Q259 SMART SCHOLARS EARLY COLLEGE HS ; STATE MISC. 07     9,Money,"$138,096.00"
2019,Education (Department of),SED ; District 30 Learning Technology Grant ; STATE MISC. 67     0,Money,"$91,461.00"
2019,Education (Department of),SED ; District 30 Learning Technology Grant ; STATE MISC. 67     9,Money,"$91,461.00"
2019,Education (Department of),SED ; Title I School Improvement TSI/CSI Planning Grant ; TITLE I CORRECT 91 9,Money,"$3,499,999.00"
2019,Education (Department of),SED ; Title I SIG Cohort 7 Award for 11X253 ; COHORT 7 YR4  97   0,Money,"$497,368.00"
2019,Education (Department of),SED ; Title I SIG Cohort 7 Award for 12X480 ; COHORT 7 YR4  99   0,Money,"$497,368.00"
2019,Education (Department of),SED ; Title I SIG Cohort 7 Award for 23K664 ; COHORT 7 YR4  96   0,Money,"$497,368.00"
2019,Education (Department of),SED ; Title I SIG Grant Cohort 7 Award for 07X298 ; COHORT 7 YR4  79   0,Money,"$497,368.00"
2019,Education (Department of),SED ; Title I SIG Grant Cohort 7 Award for 08X452 ; COHORT 7 YR4  83   0,Money,"$497,368.00"
2019,Education (Department of),Self Sustaining Morning Care Program at 31R042 ; SELF SUSTAINING 59 0,Money,"$221,420.00"
2019,Education (Department of),Self Sustaining PAWS-ROAR at 31R029 ; SELF SUSTAINING 11 0,Money,"$342,449.15"
2019,Education (Department of),Self Sustaining Program at 31R034 ; SELF SUSTAINING 45 9,Money,"$25,000.00"
2019,Education (Department of),Self Sustaining S.T.A.R Center at 31R042 ; SELF SUSTAINING 24 0,Money,"$528,550.00"
2019,Education (Department of),Self Sustaining Summer Day Camp at 31R023 ; SELF SUSTAINING 28 0,Money,"$33,500.00"
2019,Education (Department of),Self-Sustaining After School Center at 31R024. ; SELF SUSTAINING 62 9,Money,"$58,344.43"
2019,Education (Department of),Self-Sustaining Program at 31R034 ; SELF SUSTAINING 45 0,Money,"$25,000.00"
2019,Education (Department of),SEO Scholars ; PS 580M - after school ; Fund for Public Schools ; FUNDS PUB SCHL 50  0,Money,"$17,000.00"
2019,Education (Department of),Shubert ; Leadership & Teacher Development ; Fund for Public Schools ; FUNDS PUB SCHL 34  0,Money,"$5,974.00"
2019,Education (Department of),SI Foundation Grant for 31R600 for Deep Dive McKee Core Collaborative ; FOUNDATION GRNT 04 9,Money,"$9,999.00"
2019,Education (Department of),SOAB ; PS 408M - SOAB ; Fund for Public Schools ; FUNDS PUB SCHL 69  0,Money,"$25,500.00"
2019,Education (Department of),Sophie Gerson ; FUNDS PUB SCHL 379 9,Money,"$18,136.00"
2019,Education (Department of),Special Music School of PTA ; 03M859 Special Music School of PTA ; PRIV PTA GRANT 02  0,Money,"$6,000.00"
2019,Education (Department of),Spruce Street School PS Parent Teacher Association Inc ; 02M397 Spruce Street School PS Parent Teacher Association Inc ; PRIV PTA GRANT 14  0,Money,"$100,000.00"
2019,Education (Department of),State Education Dept. - Federal Pass through ; Early College High School - Smart Scholars 4 - D19 ; STATE MISC. 06     0,Money,"$130,600.00"
2019,Education (Department of),Student Leadership Network ; Student Leadership Network/Regents Prep Classes ; PRIVATE GRANT  31  0,Money,"$6,000.00"
2019,Education (Department of),Student Leadership Network ; Teacher Per Session for Regent Prep Classes ; PRIVATE GRANT  32  9,Money,"$6,368.25"
2019,Education (Department of),Stuyvesant High School ; 02M475 Stuyvesant High School ; PRIV PTA GRANT 03  0,Money,"$24,800.84"
2019,Education (Department of),TAG PTA Inc ; 04M012 TAG PTA Inc ; PRIV PTA GRANT 02  0,Money,"$30,221.27"
2019,Education (Department of),Teacher & School Leaders Grant ; MISC FED GRANT 98  0,Money,"$11,504,874.00"
2019,Education (Department of),Teacher and School Leader    ; MISC FED GRANT 98  8,Money,"$11,889,471.00"
2019,Education (Department of),Teacher Per Session for Regent Prep Classes ; PRIVATE GRANT  32  9,Money,"$6,368.25"
2019,Education (Department of),Teachers College ; PS 307K - STEM ; Fund for Public Schools ; FUNDS PUB SCHL 377 9,Money,"$52,080.00"
2019,Education (Department of),Teachers College ; PS 307K ; Fund for Public Schools ; FUNDS PUB SCHL 35  0,Money,"$10,416.00"
2019,Education (Department of),Teachers College ; PS 517M - supplies ; Fund for Public Schools ; FUNDS PUB SCHL 04  0,Money,"$35,389.00"
2019,Education (Department of),Teachers College Comm. School ; FUNDS PUB SCHL 28  9,Money,"$404,612.00"
2019,Education (Department of),Teachers College Community School PTA ; 05M517 Teachers College Community School PTA ; PRIV PTA GRANT 02  0,Money,"$5,500.00"
2019,Education (Department of),Teaching Matters ; PS 9M - Teacher Leadership ; Fund for Public Schools ; FUNDS PUB SCHL 354 9,Money,"$5,482.00"
2019,Education (Department of),Technical Assistance Center (TAC)- Regional Partnership Center ; STATE MISC. 02     0,Money,"$6,712,874.00"
2019,Education (Department of),Technical Assistance Center (TAC)- Regional Partnership Center  ; STATE MISC. 11     0,Money,"$9,690,067.00"
2019,Education (Department of),Test Prep Program at 31R005 ; SELF SUSTAINING 54 0,Money,"$30,550.00"
2019,Education (Department of),Test Prep Program at 31R007 ; SELF SUSTAINING 18 9,Money,"$28,068.78"
2019,Education (Department of),The Advisory Board of the HSFI ; 02M600 The Advisory Board of the HSFI ; PRIVATE GRANT  36  0,Money,"$5,063.00"
2019,Education (Department of),The City of New York  Department of Education  Myra S. Barnes IS 24 ; After School Dance Program at 31R024 ; SELF SUSTAINING 83 0,Money,"$13,707.08"
2019,Education (Department of),The City of New York  Department of Education  Myra S. Barnes IS 24 ; Robotics Program at 31R024 ;,Money,"$7,177.98"
2019,Education (Department of),The City of New York  Department of Education ; After School Theatre Program (Special Music) for 31R024 ; SELF SUSTAINING 84 0,Money,"$8,000.00"
2019,Education (Department of),The City of New York Department of Education   ; Bridge Program at 31R064 ; SELF SUSTAINING 51 0,Money,"$8,303.00"
2019,Education (Department of),The City of New York Department of Education  CSI HS for Intl. Studies  General School Fund ; Educational Initiatives at 31R047 ; PRIVATE GRANT  37  0,Money,"$8,000.00"
2019,Education (Department of),The city of New York Department of Education  IS 75 Summer Band ; Summer Band Program at 31R075 ;,Money,"$21,500.00"
2019,Education (Department of),The City of New York Department of Education  Myra S. Barnes IS 24 ; After School Center at 31R024 ; SELF SUSTAINING 62 0,Money,"$24,053.23"
2019,Education (Department of),The City of New York Department of Education  PS 4 - General School Fund ; After School Center at 31R004 ; SELF SUSTAINING 71 9,Money,"$5,958.26"
2019,Education (Department of),The City of New York Department of Education  PS 4 - General School Fund ; Latchkey Program at 31R004 ; SELF SUSTAINING 30 0,Money,"$40,000.00"
2019,Education (Department of),The City of New York Department of Education  PS 53 After School Center Account ; After School Center Program at 31R053 ; SELF SUSTAINING 72 0,Money,"$14,590.00"
2019,Education (Department of),The City of New York Department of Education  PS 53 After School Center Account ; After School Center Program at 31R053 ; SELF SUSTAINING 74 0,Money,"$25,000.00"
2019,Education (Department of),The City of New York Department of Education  PS 62 General School Fund ; Saturday Test Sophistication Program at 31R062 ; SELF SUSTAINING 79 0,Money,"$8,125.00"
2019,Education (Department of),The City of New York Department of Education  Self-Sustaining After School Center ; After School Center at 31R075 ; SELF SUSTAINING 43 0,Money,"$33,478.00"
2019,Education (Department of),"The City of New York Department of Education   Myra S. Barnes IS 24 ; After School Center, SHSAT, Algebra, Earth Science at 31R024 ; SELF SUSTAINING 97 9",Money,"$11,141.72"
2019,Education (Department of),The City of New York Department of Education ; Cheer Team at 31R075 ; SELF SUSTAINING 46 0,Money,"$8,235.00"
2019,Education (Department of),The City of NY Dept of Educ PS 50 Genl Sch Fund ; Self Sustaining Summer Camp at 31R050 ; SELF SUSTAINING 13 0,Money,"$30,000.00"
2019,Education (Department of),the City of NY Dept of Education PS 50 General Sch Fund  021000021:237721508 ; 31R050 Self Sustaining After School Center ; SELF SUSTAINING 23 0,Money,"$7,500.00"
2019,Education (Department of),The City of NY Dept of Education PS 50 Genl School Fund  021000021:237721508 ; 31R050 Self Sustaining Latchkey Program ; SELF SUSTAINING 90 0,Money,"$40,000.00"
2019,Education (Department of),The City of NY DOE Myra S Barnes IS24 General Sch Fnd 021000021:377610016 ; 31R024 ASC SHSAT Program ; SELF SUSTAINING 97 0,Money,"$10,395.39"
2019,Education (Department of),The City of NY DOE PS 4 Genl Sch Fund ; Self Sustaining Vacation Day Camp at 31R004 ; SELF SUSTAINING 31 0,Money,"$48,500.00"
2019,Education (Department of),The general organization of Bronx Science ; College Board AP funds for 10X445 ; PRIVATE GRANT  32  0,Money,"$10,000.00"
